detuning_ghz,fluence_mw_us,mode,central_block_snr,phase_peak_rad,photoelectrons_per_incident_I0_pixel,read_noise_e_per_pixel_per_port,kappa_F
1.5,10,Faraday dark-field,0.922960043982,0.202941652879,114.924274598,3,1
1.5,11,Faraday dark-field,1.01034620428,0.202941652879,126.416702058,3,1
1.5,12,Faraday dark-field,1.09691663023,0.202941652879,137.909129518,3,1
1.5,13,Faraday dark-field,1.18268858511,0.202941652879,149.401556977,3,1
1.5,14,Faraday dark-field,1.26767879371,0.202941652879,160.893984437,3,1
1.5,15,Faraday dark-field,1.35190346416,0.202941652879,172.386411897,3,1
1.5,16,Faraday dark-field,1.43537830881,0.202941652879,183.878839357,3,1
1.5,17,Faraday dark-field,1.51811856391,0.202941652879,195.371266817,3,1
1.5,18,Faraday dark-field,1.60013900846,0.202941652879,206.863694276,3,1
1.5,19,Faraday dark-field,1.68145398211,0.202941652879,218.356121736,3,1
1.5,20,Faraday dark-field,1.76207740216,0.202941652879,229.848549196,3,1
1.5,21,Faraday dark-field,1.84202277983,0.202941652879,241.340976656,3,1
1.5,22,Faraday dark-field,1.92130323567,0.202941652879,252.833404116,3,1
1.5,23,Faraday dark-field,1.99993151435,0.202941652879,264.325831575,3,1
1.5,24,Faraday dark-field,2.0779199987,0.202941652879,275.818259035,3,1
1.5,25,Faraday dark-field,2.15528072312,0.202941652879,287.310686495,3,1
1.5,26,Faraday dark-field,2.23202538639,0.202941652879,298.803113955,3,1
1.5,27,Faraday dark-field,2.30816536389,0.202941652879,310.295541415,3,1
1.5,28,Faraday dark-field,2.3837117193,0.202941652879,321.787968874,3,1
1.5,29,Faraday dark-field,2.45867521576,0.202941652879,333.280396334,3,1
1.5,30,Faraday dark-field,2.53306632652,0.202941652879,344.772823794,3,1
1.5,31,Faraday dark-field,2.60689524517,0.202941652879,356.265251254,3,1
1.5,32,Faraday dark-field,2.68017189542,0.202941652879,367.757678714,3,1
1.5,33,Faraday dark-field,2.75290594041,0.202941652879,379.250106173,3,1
1.5,34,Faraday dark-field,2.82510679169,0.202941652879,390.742533633,3,1
1.5,35,Faraday dark-field,2.8967836178,0.202941652879,402.234961093,3,1
1.5,36,Faraday dark-field,2.96794535245,0.202941652879,413.727388553,3,1
1.5,37,Faraday dark-field,3.03860070243,0.202941652879,425.219816013,3,1
1.5,38,Faraday dark-field,3.10875815514,0.202941652879,436.712243472,3,1
1.5,39,Faraday dark-field,3.17842598584,0.202941652879,448.204670932,3,1
1.5,40,Faraday dark-field,3.2476122646,0.202941652879,459.697098392,3,1
1.5,41,Faraday dark-field,3.31632486293,0.202941652879,471.189525852,3,1
