detuning_ghz,fluence_mw_us,mode,minimum_snr,initial_snr,final_depletion_accepted_snr,depletion_limited_frames,usable_frames,stopping_reason,post_sequence_loss,next_pulse_loss,n_gamma,reabsorption_fraction
0.75,10,Faraday dark-field,9,3.17003421457,2.0443218716,22,0,image quality,0.294576813262,0.307789633623,0.0026491572153,0.106555208868
0.75,10,Faraday dual-port,9,9.72283726395,7.62520298646,22,8,image quality,0.294576813262,0.307789633623,0.0026491572153,0.106555208868
0.75,15,Faraday dark-field,9,4.4383411242,3.02856273445,14,0,image quality,0.281349211251,0.30118506599,0.00397373582295,0.106555208868
0.75,15,Faraday dual-port,9,12.1912451043,9.75688420066,14,14,depletion,0.281349211251,0.30118506599,0.00397373582295,0.106555208868
0.75,20,Faraday dark-field,9,5.57000980231,3.81537127815,11,0,image quality,0.294576813262,0.320987754559,0.0052983144306,0.106555208868
0.75,20,Faraday dual-port,9,14.2497738784,11.3270972272,11,11,depletion,0.294576813262,0.320987754559,0.0052983144306,0.106555208868
0.75,25,Faraday dark-field,9,6.59640360033,4.83080914633,8,0,image quality,0.268106744535,0.30118506599,0.00662289303826,0.106555208868
0.75,25,Faraday dual-port,9,16.050933739,13.1875551881,8,8,depletion,0.268106744535,0.30118506599,0.00662289303826,0.106555208868
0.75,30,Faraday dark-field,9,7.53908642369,5.5150804911,7,0,image quality,0.281349211251,0.320987754559,0.00794747164591,0.106555208868
0.75,30,Faraday dual-port,9,17.6716160765,14.4247978688,7,7,depletion,0.281349211251,0.320987754559,0.00794747164591,0.106555208868
0.75,35,Faraday dark-field,9,8.41351583562,6.26678535664,6,0,image quality,0.281349211251,0.327581328212,0.00927205025356,0.106555208868
0.75,35,Faraday dual-port,9,19.156854357,15.7387231054,6,6,depletion,0.281349211251,0.327581328212,0.00927205025356,0.106555208868
0.75,40,Faraday dark-field,9,9.23115033777,7.12349763535,5,1,image quality,0.268106744535,0.320987754559,0.0105966288612,0.106555208868
0.75,40,Faraday dual-port,9,20.5356573888,17.1975436953,5,5,depletion,0.268106744535,0.320987754559,0.0105966288612,0.106555208868
0.75,45,Faraday dark-field,9,10.000721552,8.11453340132,4,2,image quality,0.241576880533,0.30118506599,0.0119212074689,0.106555208868
0.75,45,Faraday dual-port,9,21.8279892236,18.8518281348,4,4,depletion,0.241576880533,0.30118506599,0.0119212074689,0.106555208868
0.75,50,Faraday dark-field,9,10.7290384713,8.51148645143,4,3,image quality,0.268106744535,0.334171257473,0.0132457860765,0.106555208868
0.75,50,Faraday dual-port,9,23.0482754146,19.543931257,4,4,depletion,0.268106744535,0.334171257473,0.0132457860765,0.106555208868
0.75,55,Faraday dark-field,9,11.4215157959,8.85497699216,4,3,image quality,0.294576813262,0.367066587875,0.0145703646842,0.106555208868
0.75,55,Faraday dual-port,9,24.207337172,20.1440587927,4,4,depletion,0.294576813262,0.367066587875,0.0145703646842,0.106555208868
0.75,60,Faraday dark-field,9,12.0825324801,10.1481702456,3,3,depletion,0.241576880533,0.320987754559,0.0158949432918,0.106555208868
0.75,60,Faraday dual-port,9,25.3135364687,22.2556940955,3,3,depletion,0.241576880533,0.320987754559,0.0158949432918,0.106555208868
0.75,65,Faraday dark-field,9,12.7156819336,10.5325239344,3,3,depletion,0.261479910727,0.347340222963,0.0172195218995,0.106555208868
0.75,65,Faraday dual-port,9,26.373492631,22.9141440183,3,3,depletion,0.261479910727,0.347340222963,0.0172195218995,0.106555208868
0.75,70,Faraday dark-field,9,13.3239508907,10.88218436,3,3,depletion,0.281349211251,0.373634860085,0.0185441005071,0.106555208868
0.75,70,Faraday dual-port,9,27.3925512649,23.5140682115,3,3,depletion,0.281349211251,0.373634860085,0.0185441005071,0.106555208868
0.75,75,Faraday dark-field,9,13.9098500217,12.5726381751,2,2,depletion,0.201668473657,0.30118506599,0.0198686791148,0.106555208868
0.75,75,Faraday dual-port,9,28.3751026239,26.2520426823,2,2,depletion,0.201668473657,0.30118506599,0.0198686791148,0.106555208868
0.75,80,Faraday dark-field,9,14.4755111067,13.0036587346,2,2,depletion,0.214986539708,0.320987754559,0.0211932577224,0.106555208868
0.75,80,Faraday dual-port,9,29.3248045402,26.98236846,2,2,depletion,0.214986539708,0.320987754559,0.0211932577224,0.106555208868
0.75,85,Faraday dark-field,9,15.0227605445,13.4122315616,2,2,depletion,0.228289312866,0.34075755239,0.0225178363301,0.106555208868
0.75,85,Faraday dual-port,9,30.2447426861,27.675343623,2,2,depletion,0.228289312866,0.34075755239,0.0225178363301,0.106555208868
0.75,90,Faraday dark-field,9,15.553175795,13.7998030679,2,2,depletion,0.241576880533,0.360494730829,0.0238424149377,0.106555208868
0.75,90,Faraday dual-port,9,31.1375484238,28.3341606479,2,2,depletion,0.241576880533,0.360494730829,0.0238424149377,0.106555208868
0.75,95,Faraday dark-field,9,16.0681293026,14.1682377463,2,2,depletion,0.254849329214,0.380199557216,0.0251669935454,0.106555208868
0.75,95,Faraday dual-port,9,32.0054871945,28.9605839434,2,2,depletion,0.254849329214,0.380199557216,0.0251669935454,0.106555208868
0.75,100,Faraday dark-field,9,16.5688230946,14.5182405566,2,2,depletion,0.268106744535,0.399872294973,0.026491572153,0.106555208868
0.75,100,Faraday dual-port,9,32.8505259706,29.5576665313,2,2,depletion,0.268106744535,0.399872294973,0.026491572153,0.106555208868
