detuning_ghz,fluence_mw_us,mode,minimum_snr,initial_snr,final_depletion_accepted_snr,depletion_limited_frames,usable_frames,stopping_reason,post_sequence_loss,next_pulse_loss,n_gamma,reabsorption_fraction,kappa_F,numerical_aperture,read_noise_electrons_per_pixel_per_port
0.75,90,Faraday dark-field,8,8.61324232018,7.73369824346,2,1,image quality,0.241576880533,0.360494730829,0.0238424149377,0.106555208868,-0.494505494505,0.13,0.7
0.75,90,Faraday dual-port,8,16.5963525596,15.0791277955,2,2,depletion,0.241576880533,0.360494730829,0.0238424149377,0.106555208868,-0.494505494505,0.13,0.7
0.75,95,Faraday dark-field,8,8.87877842489,7.92589241096,2,1,image quality,0.254849329214,0.380199557216,0.0251669935454,0.106555208868,-0.494505494505,0.13,0.7
0.75,95,Faraday dual-port,8,17.0531219356,15.406164223,2,2,depletion,0.254849329214,0.380199557216,0.0251669935454,0.106555208868,-0.494505494505,0.13,0.7
0.75,100,Faraday dark-field,8,9.13694696069,8.10858083851,2,2,depletion,0.268106744535,0.399872294973,0.026491572153,0.106555208868,-0.494505494505,0.13,0.7
0.75,100,Faraday dual-port,8,17.4979726184,15.7178365725,2,2,depletion,0.268106744535,0.399872294973,0.026491572153,0.106555208868,-0.494505494505,0.13,0.7
0.75,105,Faraday dark-field,8,9.3883128835,8.28272670999,2,2,depletion,0.281349211251,0.419513203688,0.0278161507607,0.106555208868,-0.494505494505,0.13,0.7
0.75,105,Faraday dual-port,8,17.9317915512,16.0145912626,2,2,depletion,0.281349211251,0.419513203688,0.0278161507607,0.106555208868,-0.494505494505,0.13,0.7
0.75,110,Faraday dark-field,8,9.63337373416,8.44850015148,2,2,depletion,0.294576813262,0.439122539191,0.0291407293683,0.106555208868,-0.494505494505,0.13,0.7
0.75,110,Faraday dual-port,8,18.3553608482,16.2977935291,2,2,depletion,0.294576813262,0.439122539191,0.0291407293683,0.106555208868,-0.494505494505,0.13,0.7
