detuning_hz,detuning_ghz,dimensionless_delta,saturation_parameter_for_scattering_check,phase_exact_delta_over_1_plus_delta2,phase_far_detuned_1_over_delta,phase_scaling_relative_error,od_exact_1_over_1_plus_delta2,od_far_detuned_1_over_delta2,od_scaling_relative_error,scattering_exact_1_over_1_plus_s_plus_delta2,scattering_far_detuned_1_over_delta2,scattering_scaling_relative_error
500000000,0.5,33.8983050847,0.027631066509,0.029474349947,0.0295,0.00087025,0.000869493323435,0.00087025,0.00087025,0.000869472434336,0.00087025,0.000894295935629
750000000,0.75,50.8474576271,0.027631066509,0.019659062978,0.0196666666667,0.000386777777778,0.000386628238567,0.000386777777778,0.000386777777778,0.000386624108281,0.000386777777778,0.00039746486028
1000000000,1,67.7966101695,0.027631066509,0.0147467916511,0.01475,0.0002175625,0.000217515176854,0.0002175625,0.0002175625,0.000217513869558,0.0002175625,0.000223573983907
1250000000,1.25,84.7457627119,0.027631066509,0.0117983571967,0.0118,0.00013924,0.000139220614922,0.00013924,0.00013924,0.000139220079368,0.00013924,0.000143087349701
1500000000,1.5,101.694915254,0.027631066509,0.00983238259656,0.00983333333333,9.66944444444e-05,9.66850955328e-05,9.66944444444e-05,9.66944444445e-05,9.66848372381e-05,9.66944444444e-05,9.93662150699e-05
1750000000,1.75,118.644067797,0.027631066509,0.00842797269851,0.00842857142857,7.10408163265e-05,7.10357698874e-05,7.10408163265e-05,7.10408163265e-05,7.10356304591e-05,7.10408163265e-05,7.30037498472e-05
2000000000,2,135.593220339,0.027631066509,0.00737459889096,0.007375,5.43906250001e-05,5.43876668208e-05,5.4390625e-05,5.43906249999e-05,5.43875850877e-05,5.4390625e-05,5.58934959769e-05
2500000000,2.5,169.491525424,0.027631066509,0.00589979462815,0.0059,3.48100000001e-05,3.48087883061e-05,3.481e-05,3.481e-05,3.48087548269e-05,3.481e-05,3.57718374253e-05
3000000000,3,203.389830508,0.027631066509,0.00491654781595,0.00491666666667,2.41736111111e-05,2.41730267618e-05,2.41736111111e-05,2.41736111111e-05,2.4173010616e-05,2.41736111111e-05,2.48415537674e-05
5000000000,5,338.983050847,0.027631066509,0.00294997432785,0.00295,8.70250000002e-06,8.70242426715e-06,8.7025e-06,8.70250000004e-06,8.70242217459e-06,8.7025e-06,8.94295935631e-06
