position_m,position_um,density_x_across_cm3,density_y_along_cm3,density_z_across_cm3
-3.72256389351e-05,-37.2256389351,0,0,0
-3.70390442537e-05,-37.0390442537,0,0,0
-3.68524495723e-05,-36.8524495723,0,0,0
-3.6665854891e-05,-36.665854891,0,0,0
-3.64792602096e-05,-36.4792602096,0,0,0
-3.62926655282e-05,-36.2926655282,0,0,0
-3.61060708468e-05,-36.1060708468,0,0,0
-3.59194761654e-05,-35.9194761654,0,0,0
-3.57328814841e-05,-35.7328814841,0,0,0
-3.55462868027e-05,-35.5462868027,0,0,0
-3.53596921213e-05,-35.3596921213,0,0,0
-3.51730974399e-05,-35.1730974399,0,0,0
-3.49865027585e-05,-34.9865027585,0,0,0
-3.47999080772e-05,-34.7999080772,0,0,0
-3.46133133958e-05,-34.6133133958,0,0,0
-3.44267187144e-05,-34.4267187144,0,0,0
-3.4240124033e-05,-34.240124033,0,0,0
-3.40535293517e-05,-34.0535293517,0,0,0
-3.38669346703e-05,-33.8669346703,0,0,0
-3.36803399889e-05,-33.6803399889,0,0,0
-3.34937453075e-05,-33.4937453075,0,0,0
-3.33071506261e-05,-33.3071506261,0,0,0
-3.31205559448e-05,-33.1205559448,0,0,0
-3.29339612634e-05,-32.9339612634,0,0,0
-3.2747366582e-05,-32.747366582,0,0,0
-3.25607719006e-05,-32.5607719006,0,0,0
-3.23741772192e-05,-32.3741772192,0,0,0
-3.21875825379e-05,-32.1875825379,0,0,0
-3.20009878565e-05,-32.0009878565,0,0,0
-3.18143931751e-05,-31.8143931751,0,0,0
-3.16277984937e-05,-31.6277984937,0,0,0
-3.14412038123e-05,-31.4412038123,0,0,0
-3.1254609131e-05,-31.254609131,0,0,0
-3.10680144496e-05,-31.0680144496,0,0,0
-3.08814197682e-05,-30.8814197682,0,0,0
-3.06948250868e-05,-30.6948250868,0,0,0
-3.05082304055e-05,-30.5082304055,0,0,0
-3.03216357241e-05,-30.3216357241,0,0,0
-3.01350410427e-05,-30.1350410427,0,0,0
-2.99484463613e-05,-29.9484463613,0,0,0
-2.97618516799e-05,-29.7618516799,0,0,0
-2.95752569986e-05,-29.5752569986,0,0,0
-2.93886623172e-05,-29.3886623172,0,0,0
-2.92020676358e-05,-29.2020676358,0,0,0
-2.90154729544e-05,-29.0154729544,0,0,0
-2.8828878273e-05,-28.828878273,0,0,0
-2.86422835917e-05,-28.6422835917,0,0,0
-2.84556889103e-05,-28.4556889103,0,0,0
