row_index,heating_shot,heating_N0,heating_frac,heating_T,heating_phi,heating_snr,heating_accumulated_snr,loss_shot,loss_N0,loss_frac,loss_T,loss_phi,loss_snr,loss_accumulated_snr
0,0,25000,8.881784197e-16,2e-07,0.202941652879,7.75545484274,7.75545484274,0,25000,0,nan,0.202941652879,7.75545484274,7.75545484274
1,1,24448.0602265,0.0220775909412,2.00402799986e-07,0.200241381121,7.65561834195,10.8975030175,1,24700.3807627,0.0119847694912,nan,0.20147880988,7.70138234366,10.9297012686
2,2,23897.225391,0.0441109843607,2.00803185688e-07,0.197522091628,7.55497431826,13.2602114977,2,24404.3523929,0.0238259042827,nan,0.200026511339,7.64766957126,13.3396109273
3,3,23347.4845213,0.0661006191473,2.01201190603e-07,0.19478308757,7.4534951429,15.211436448,3,24111.8718549,0.0355251258032,nan,0.198584681248,7.59431442298,15.3498804962
4,4,22798.8268398,0.0880469264065,2.01596847504e-07,0.192023635634,7.3511517335,16.8945917565,4,23822.8966287,0.0470841348505,nan,0.19715324415,7.54131480361,17.1023466289
5,5,22251.2417585,0.109950329658,2.0199018846e-07,0.189242963079,7.24791343768,18.3836742742,5,23537.384704,0.0585046118389,nan,0.19573212513,7.48866862538,18.6700406533
6,6,21704.7188743,0.13181124503,2.02381244858e-07,0.186440254489,7.14374790454,19.7228956784,6,23255.2945739,0.0697882170431,nan,0.194321249813,7.43637380796,20.0965189375
7,7,21159.2479641,0.153630081437,2.0277004742e-07,0.183614648179,7.0386209424,20.9412224742,7,22976.585229,0.0809365908398,nan,0.19292054436,7.38442827857,21.4102745057
8,8,20614.8189808,0.175407240769,2.03156626226e-07,0.180765232197,6.9324963609,22.0588826668,8,22701.2161513,0.0919513539464,nan,0.191529935465,7.33282997202,22.6311787101
9,9,20071.4220486,0.197143118055,2.03541010728e-07,0.17789103989,6.8253357954,23.0906802244,9,22429.1473086,0.102834107656,nan,0.190149350349,7.28157683077,23.773758873
10,10,19529.047459,0.218838101638,2.0392322977e-07,0.174991044942,6.71709851097,24.0478465904,10,22160.3391482,0.113586434071,nan,0.188778716761,7.23066680497,24.8490272122
11,11,18987.6856667,0.240492573333,2.04303311605e-07,0.172064155835,6.60774118321,24.9391493275,11,21894.7525917,0.124209896333,nan,0.187417962967,7.18009785256,25.8655747774
12,12,18447.3272854,0.262106908585,2.04681283912e-07,0.169109209624,6.49721765229,25.7715930124,12,21632.3490288,0.134706038848,nan,0.186067017751,7.12986793925,26.8302623058
13,13,17907.9630844,0.283681476623,2.05057173809e-07,0.166124964934,6.38547864602,26.5508821687,13,21373.0903121,0.145076387515,nan,0.184725810412,7.07997503863,27.7486760395
14,14,17369.5839848,0.305216640607,2.05431007871e-07,0.163110094048,6.27247146723,27.2817382556,14,21116.9387514,0.155322449943,nan,0.183394270757,7.03041713219,28.6254395075
15,nan,nan,nan,nan,nan,nan,nan,15,20863.8571081,0.165445715675,nan,0.182072329099,6.98119220938,29.4644333335
16,nan,nan,nan,nan,nan,nan,nan,16,20613.80859,0.1754476564,nan,0.180759916255,6.93229826762,30.2689542425
17,nan,nan,nan,nan,nan,nan,nan,17,20366.7568457,0.185329726172,nan,0.179456963538,6.88373331238,31.0418326658
18,nan,nan,nan,nan,nan,nan,nan,18,20122.6659596,0.195093361615,nan,0.178163402758,6.83549535722,31.7855214214
19,nan,nan,nan,nan,nan,nan,nan,19,19881.5004466,0.204739982138,nan,0.176879166217,6.7875824238,32.5021637309
20,nan,nan,nan,nan,nan,nan,nan,20,19643.2252466,0.214270990138,nan,0.175604186703,6.73999254193,33.1936461789
21,nan,nan,nan,nan,nan,nan,nan,21,19407.8057199,0.223687771203,nan,0.17433839749,6.69272374962,33.8616405072
22,nan,nan,nan,nan,nan,nan,nan,22,19175.207642,0.232991694319,nan,0.173081732332,6.64577409308,34.5076369973
23,nan,nan,nan,nan,nan,nan,nan,23,18945.3971985,0.24218411206,nan,0.171834125462,6.5991416268,35.1329714278
24,nan,nan,nan,nan,nan,nan,nan,24,18718.3409802,0.251266360794,nan,0.170595511585,6.55282441355,35.7388470595
25,nan,nan,nan,nan,nan,nan,nan,25,18494.0059782,0.26023976087,nan,0.169365825878,6.50682052439,36.3263527275
26,nan,nan,nan,nan,nan,nan,nan,26,18272.3595796,0.269105616815,nan,0.168145003986,6.46112803875,36.8964778538
27,nan,nan,nan,nan,nan,nan,nan,27,18053.369562,0.27786521752,nan,0.166932982016,6.41574504442,37.4501249996
28,nan,nan,nan,nan,nan,nan,nan,28,17837.0040893,0.286519836429,nan,0.165729696537,6.37066963758,37.9881204341
29,nan,nan,nan,nan,nan,nan,nan,29,17623.2317068,0.295070731726,nan,0.164535084574,6.32589992282,38.5112230908
30,nan,nan,nan,nan,nan,nan,nan,30,17412.0213371,0.303519146514,nan,0.163349083607,6.28143401317,39.020132204
